state,sex,c34_site,age_group,num_cases,person_years
Alaska,1,91,6,0,165323
Alaska,1,91,7,1,148761
Alaska,1,91,8,1,124597
Alaska,1,91,9,5,115568
Alaska,1,91,10,29,119625
Alaska,1,91,11,53,132817
Alaska,1,91,12,118,132759
Alaska,1,91,13,155,112795
Alaska,1,91,14,208,80917
Alaska,1,91,15,156,49315
Alaska,1,91,16,168,27452
Alaska,1,91,17,84,15190
Alaska,1,91,18,49,11236
Alaska,1,91,19,0,0
Alaska,2,91,1,0,134054
Alaska,2,91,2,0,126075
Alaska,2,91,3,0,121269
Alaska,2,91,4,0,112871
Alaska,2,91,5,0,125379
Alaska,2,91,6,1,143057
Alaska,2,91,7,2,133593
Alaska,2,91,8,3,114113
Alaska,2,91,9,6,105475
Alaska,2,91,10,16,108504
Alaska,2,91,11,58,121460
Alaska,2,91,12,97,123239
Alaska,2,91,13,119,104520
Alaska,2,91,14,136,73740
Alaska,2,91,15,134,46435
Alaska,2,91,16,91,28625
Alaska,2,91,17,83,19093
Alaska,2,91,18,46,18740
Alaska,2,91,19,0,0
Alaska,1,92,1,0,140875
Alaska,1,92,2,0,134544
Alaska,1,92,3,0,127956
Alaska,1,92,4,0,125096
Alaska,1,92,5,0,166937
Alaska,1,92,6,0,165323
Alaska,1,92,7,1,148761
Alaska,1,92,8,0,124597
Alaska,1,92,9,1,115568
Alaska,1,92,10,6,119625
Alaska,1,92,11,9,132817
Alaska,1,92,12,30,132759
Alaska,1,92,13,46,112795
Alaska,1,92,14,68,80917
Alaska,1,92,15,50,49315
Alaska,1,92,16,40,27452
Alaska,1,92,17,29,15190
Alaska,1,92,18,4,11236
Alaska,1,92,19,0,0
Alaska,2,92,1,0,134054
Alaska,2,92,2,0,126075
Alaska,2,92,3,0,121269
Alaska,2,92,4,0,112871
Alaska,2,92,5,0,125379
Alaska,2,92,6,0,143057
Alaska,2,92,7,0,133593
Alaska,2,92,8,0,114113
Alaska,2,92,9,0,105475
Alaska,2,92,10,2,108504
Alaska,2,92,11,8,121460
Alaska,2,92,12,14,123239
Alaska,2,92,13,23,104520
Alaska,2,92,14,35,73740
Alaska,2,92,15,32,46435
Alaska,2,92,16,21,28625
Alaska,2,92,17,18,19093
Alaska,2,92,18,8,18740
Alaska,2,92,19,0,0
Alaska,1,93,1,0,140875
Alaska,1,93,2,0,134544
Alaska,1,93,3,0,127956
Alaska,1,93,4,0,125096
Alaska,1,93,5,0,166937
Alaska,1,93,6,0,165323
Alaska,1,93,7,0,148761
Alaska,1,93,8,1,124597
Alaska,1,93,9,2,115568
Alaska,1,93,10,16,119625
Alaska,1,93,11,24,132817
Alaska,1,93,12,43,132759
Alaska,1,93,13,63,112795
Alaska,1,93,14,75,80917
Alaska,1,93,15,43,49315
Alaska,1,93,16,52,27452
Alaska,1,93,17,24,15190
Alaska,1,93,18,17,11236
Alaska,1,93,19,0,0
Alaska,2,93,1,0,134054
Alaska,2,93,2,0,126075
Alaska,2,93,3,0,121269
Alaska,2,93,4,0,112871
Alaska,2,93,5,0,125379
Alaska,2,93,6,0,143057
Alaska,2,93,7,1,133593
Alaska,2,93,8,2,114113
Alaska,2,93,9,5,105475
Alaska,2,93,10,12,108504
Alaska,2,93,11,30,121460
Alaska,2,93,12,53,123239
Alaska,2,93,13,50,104520
Alaska,2,93,14,61,73740
Alaska,2,93,15,54,46435
Alaska,2,93,16,40,28625
Alaska,2,93,17,29,19093
Alaska,2,93,18,14,18740
Alaska,2,93,19,0,0
Alaska,1,94,1,0,140875
Alaska,1,94,2,0,134544
Alaska,1,94,3,0,127956
Alaska,1,94,4,0,125096
Alaska,1,94,5,0,166937
Alaska,1,94,6,0,165323
Alaska,1,94,7,0,148761
Alaska,1,94,8,0,124597
Alaska,1,94,9,0,115568
Alaska,1,94,10,4,119625
Alaska,1,94,11,10,132817
Alaska,1,94,12,17,132759
Alaska,1,94,13,17,112795
Alaska,1,94,14,26,80917
Alaska,1,94,15,21,49315
Alaska,1,94,16,24,27452
Alaska,1,94,17,7,15190
Alaska,1,94,18,7,11236
Alaska,1,94,19,0,0
Alaska,2,94,1,0,134054
Alaska,2,94,2,0,126075
Alaska,2,94,3,0,121269
Alaska,2,94,4,0,112871
Alaska,2,94,5,0,125379
Alaska,2,94,6,0,143057
Alaska,2,94,7,0,133593
Alaska,2,94,8,0,114113
Alaska,2,94,9,1,105475
Alaska,2,94,10,1,108504
Alaska,2,94,11,5,121460
Alaska,2,94,12,13,123239
Alaska,2,94,13,23,104520
Alaska,2,94,14,19,73740
Alaska,2,94,15,20,46435
Alaska,2,94,16,7,28625
Alaska,2,94,17,14,19093
Alaska,2,94,18,3,18740
Alaska,2,94,19,0,0
Alaska,1,95,1,0,140875
Alaska,1,95,2,0,134544
Alaska,1,95,3,0,127956
Alaska,1,95,4,0,125096
Alaska,1,95,5,0,166937
Alaska,1,95,6,0,165323
Alaska,1,95,7,0,148761
Alaska,1,95,8,0,124597
Alaska,1,95,9,1,115568
Alaska,1,95,10,0,119625
Alaska,1,95,11,4,132817
Alaska,1,95,12,5,132759
Alaska,1,95,13,7,112795
Alaska,1,95,14,6,80917
Alaska,1,95,15,8,49315
Alaska,1,95,16,6,27452
Alaska,1,95,17,5,15190
Alaska,1,95,18,3,11236
Alaska,1,95,19,0,0
Alaska,2,95,1,0,134054
Alaska,2,95,2,0,126075
Alaska,2,95,3,0,121269
Alaska,2,95,4,0,112871
Alaska,2,95,5,0,125379
Alaska,2,95,6,0,143057
Alaska,2,95,7,0,133593
Alaska,2,95,8,0,114113
Alaska,2,95,9,0,105475
Alaska,2,95,10,0,108504
Alaska,2,95,11,3,121460
Alaska,2,95,12,2,123239
Alaska,2,95,13,5,104520
Alaska,2,95,14,3,73740
Alaska,2,95,15,5,46435
Alaska,2,95,16,5,28625
Alaska,2,95,17,4,19093
Alaska,2,95,18,3,18740
Alaska,2,95,19,0,0
Alaska,1,96,1,0,140875
Alaska,1,96,2,0,134544
Alaska,1,96,3,0,127956
Alaska,1,96,4,0,125096
Alaska,1,96,5,0,166937
Alaska,1,96,6,0,165323
Alaska,1,96,7,0,148761
Alaska,1,96,8,0,124597
Alaska,1,96,9,1,115568
Alaska,1,96,10,2,119625
Alaska,1,96,11,3,132817
Alaska,1,96,12,12,132759
Alaska,1,96,13,16,112795
Alaska,1,96,14,17,80917
Alaska,1,96,15,17,49315
Alaska,1,96,16,16,27452
Alaska,1,96,17,3,15190
Alaska,1,96,18,1,11236
Alaska,1,96,19,0,0
Alaska,2,96,1,0,134054
Alaska,2,96,2,0,126075
Alaska,2,96,3,0,121269
Alaska,2,96,4,0,112871
Alaska,2,96,5,0,125379
Alaska,2,96,6,1,143057
Alaska,2,96,7,1,133593
Alaska,2,96,8,1,114113
Alaska,2,96,9,0,105475
Alaska,2,96,10,1,108504
Alaska,2,96,11,10,121460
Alaska,2,96,12,10,123239
Alaska,2,96,13,13,104520
Alaska,2,96,14,6,73740
Alaska,2,96,15,7,46435
Alaska,2,96,16,7,28625
Alaska,2,96,17,4,19093
Alaska,2,96,18,3,18740
Alaska,2,96,19,0,0
Alaska,1,97,1,0,140875
Alaska,1,97,2,0,134544
Alaska,1,97,3,0,127956
Alaska,1,97,4,0,125096
Alaska,1,97,5,0,166937
Alaska,1,97,6,0,165323
Alaska,1,97,7,0,148761
Alaska,1,97,8,0,124597
Alaska,1,97,9,0,115568
Alaska,1,97,10,0,119625
Alaska,1,97,11,0,132817
Alaska,1,97,12,1,132759
Alaska,1,97,13,0,112795
Alaska,1,97,14,0,80917
Alaska,1,97,15,0,49315
Alaska,1,97,16,0,27452
Alaska,1,97,17,0,15190
Alaska,1,97,18,0,11236
Alaska,1,97,19,0,0
Alaska,2,97,1,0,134054
Alaska,2,97,2,0,126075
Alaska,2,97,3,0,121269
Alaska,2,97,4,0,112871
Alaska,2,97,5,0,125379
Alaska,2,97,6,0,143057
Alaska,2,97,7,0,133593
Alaska,2,97,8,0,114113
Alaska,2,97,9,0,105475
Alaska,2,97,10,0,108504
Alaska,2,97,11,0,121460
Alaska,2,97,12,0,123239
Alaska,2,97,13,0,104520
Alaska,2,97,14,0,73740
Alaska,2,97,15,0,46435
Alaska,2,97,16,0,28625
Alaska,2,97,17,0,19093
Alaska,2,97,18,0,18740
Alaska,2,97,19,0,0
Alaska,1,98,1,0,140875
